"","Pathway total","Hits.total","Hits.sig","Expected","FET","EASE","Gamma","Emp.Hits","Empirical","Pathway Number","EC.Hits"
"Pyrimidine metabolism","63","63","7","9.2906","0.77562","0.87553","0.14946","3905","0.3905","P56","EC000535;EC000228;EC000454;EC00038;EC000411;EC000249;EC000351"
"Beta-Alanine metabolism","20","20","2","2.9494","0.77852","0.94624","0.15099","102","0.0102","P57","EC00092;EC000314"
"Aminosugars metabolism","30","30","3","4.4241","0.79677","0.92897","0.16121","3248","0.3248","P58","EC00099;EC00038;EC000640"
"N-Glycan biosynthesis","11","11","1","1.6222","0.80046","1","0.1634","5387","0.5387","P59","EC00023"
"Alkaloid biosynthesis II","11","11","1","1.6222","0.80046","1","0.1634","4863","0.4863","P60","EC000136"
"TCA cycle","11","11","1","1.6222","0.80046","1","0.1634","4749","0.4749","P61","EC000109"
"Propanoate metabolism","12","12","1","1.7696","0.82778","1","0.18122","4147","0.4147","P62","EC000152"
"Carnitine shuttle","32","32","3","4.719","0.83213","0.94426","0.18434","35","0.0035","P63","EC000617;EC0001060;EC0001264"
"Sialic acid metabolism","23","23","2","3.3918","0.84161","0.96548","0.19147","2861","0.2861","P64","EC00099;EC00023"
"Butanoate metabolism","42","42","4","6.1937","0.84454","0.93844","0.19376","7221","0.7221","P65","EC000768;EC000769;EC000620;EC000406"
"Glycerophospholipid metabolism","60","60","6","8.8482","0.84763","0.92616","0.19623","5189","0.5189","P66","EC000467;EC000691;EC000322;EC00023;EC00075;EC000156"
"Ubiquinone Biosynthesis","13","13","1","1.9171","0.85139","1","0.1993","9826","0.9826","P67","EC000121"
"Leukotriene metabolism","24","24","2","3.5393","0.85874","0.97022","0.20557","3423","0.3423","P68","EC000156;EC0001222"
"Vitamin B3 (nicotinate and nicotinamide) metabolism","34","34","3","5.014","0.8621","0.95641","0.20854","9553","0.9553","P69","EC00032;EC00038;EC000835"
"Vitamin B6 (pyridoxine) metabolism","14","14","1","2.0646","0.87177","1","0.21755","9981","0.9981","P70","EC000170"
"Purine metabolism","45","45","4","6.6361","0.88129","0.9556","0.22711","7460","0.746","P71","EC0001232;EC00061;EC000351;EC00038"
"Vitamin B5 - CoA biosynthesis from pantothenate","15","15","1","2.212","0.88938","1","0.23586","7219","0.7219","P72","EC000394"
"Vitamin E metabolism","15","15","1","2.212","0.88938","1","0.23586","8641","0.8641","P73","EC000326"
"Hexose phosphorylation","16","16","1","2.3595","0.90458","1","0.25417","9931","0.9931","P74","EC00023"
"Ascorbate (Vitamin C) and Aldarate Metabolism","16","16","1","2.3595","0.90458","1","0.25417","2720","0.272","P75","EC000326"
"Androgen and estrogen biosynthesis and metabolism","28","28","2","4.1291","0.91165","0.98354","0.26369","8969","0.8969","P76","EC000729;EC000699"
"Drug metabolism - other enzymes","18","18","1","2.6545","0.92903","1","0.29052","7009","0.7009","P77","EC0001045"
"Arachidonic acid metabolism","19","19","1","2.8019","0.9388","1","0.30845","6053","0.6053","P78","EC000156"
"Glutamate metabolism","19","19","1","2.8019","0.9388","1","0.30845","8404","0.8404","P79","EC00038"
"Fatty acid activation","37","37","2","5.4564","0.97087","0.9957","0.39415","5913","0.5913","P80","EC000617;EC0001060"
"Prostaglandin formation from arachidonate","27","27","1","3.9817","0.98139","1","0.44188","7561","0.7561","P81","EC000156"
"C21-steroid hormone biosynthesis and metabolism","52","52","2","7.6684","0.99591","0.99955","0.57944","9734","0.9734","P82","EC000699;EC000729"
"Linoleate metabolism","43","43","1","6.3412","0.99832","1","0.64442","10000","1","P83","EC000975"
