"","Pathway total","Hits.total","Hits.sig","Expected","FET","EASE","Gamma","Emp.Hits","Empirical","Pathway Number","EC.Hits"
"Sialic acid metabolism","23","23","5","4.034","0.30882","0.51864","0.028931","81","0.0081","P18","EC00095;EC00096;EC000599;EC000226;EC00039"
"Hyaluronan Metabolism","7","7","2","1.2277","0.31548","0.70744","0.02945","345","0.0345","P19","EC00095;EC00096"
"Omega-3 fatty acid metabolism","13","13","3","2.2801","0.35174","0.64336","0.032468","85","0.0085","P20","EC0001012;EC000716;EC000893"
"Aminosugars metabolism","30","30","6","5.2618","0.35284","0.54194","0.032566","288","0.0288","P21","EC00019;EC00095;EC00096;EC00035;EC00036;EC000226"
"Glutathione Metabolism","19","19","4","3.3325","0.36852","0.61043","0.033985","331","0.0331","P22","EC000542;EC00019;EC000520;EC000345"
"Glutamate metabolism","19","19","4","3.3325","0.36852","0.61043","0.033985","659","0.0659","P23","EC00019;EC00035;EC00036;EC000345"
"Glycerophospholipid metabolism","60","60","11","10.524","0.37229","0.50499","0.034336","648","0.0648","P24","EC000685;EC000573;EC000703;EC000195;EC000599;EC000893;EC000322;EC00039;EC000317;EC000386;EC000156"
"Biopterin metabolism","14","14","3","2.4555","0.39931","0.68459","0.036984","8423","0.8423","P25","EC0001123;EC00055;EC00056"
"Vitamin B6 (pyridoxine) metabolism","14","14","3","2.4555","0.39931","0.68459","0.036984","8024","0.8024","P26","EC000170;EC000192;EC000391"
"Nucleotide Sugar Metabolism","3","3","1","0.52618","0.41063","1","0.038162","367","0.0367","P27","EC000387"
