"","Pathway total","Hits.total","Hits.sig","Expected","FET","EASE","Gamma","Emp.Hits","Empirical","Pathway Number","EC.Hits"
"C21-steroid hormone biosynthesis and metabolism","58","58","4","4.9219","0.6817","0.84361","0.076895","2244","0.2244","P64","EC000586;EC000959;EC000336;EC000516"
"Carnitine shuttle","30","30","2","2.5458","0.69649","0.9137","0.081175","4939","0.4939","P65","EC0001126;EC00011"
"TCA cycle","16","16","1","1.3578","0.73114","1","0.09249","3005","0.3005","P66","EC00013"
"Glycine, serine, alanine and threonine metabolism","49","49","3","4.1581","0.75509","0.90637","0.10157","6173","0.6173","P67","EC00013;EC000114;EC00038"
"Porphyrin metabolism","18","18","1","1.5275","0.77217","1","0.1088","5296","0.5296","P68","EC00013"
"Beta-Alanine metabolism","18","18","1","1.5275","0.77217","1","0.1088","7042","0.7042","P69","EC00076"
"Alanine and Aspartate Metabolism","20","20","1","1.6972","0.807","1","0.12598","9873","0.9873","P70","EC00035"
"Vitamin E metabolism","22","22","1","1.8669","0.83655","1","0.14385","5730","0.573","P71","EC0001114"
"Linoleate metabolism","47","47","2","3.9884","0.89684","0.97913","0.19551","9899","0.9899","P72","EC000992;EC000994"
"Androgen and estrogen biosynthesis and metabolism","30","30","1","2.5458","0.9162","1","0.21933","8845","0.8845","P73","EC000516"
