"","Pathway_Total","Hits","P_val","P_adj","NES","EC.Hits"
"3-Chloroacrylic acid degradation",1,1,0.7551,0.9975,0.8404,EC0001648;EC000331;EC000332;EC0001649;EC0001650;EC0001;EC0001651;EC0001459;EC0001460;EC0001591;EC000339;EC000340;EC000341;EC0001152;EC000574;EC0001468;EC0001469;EC0001305;EC0001455;EC0001456;EC0001457;EC0001587;EC0001530;EC0001531;EC0001154;EC000477;EC0001589;EC000601;EC000602;EC000603;EC000604;EC0001579;EC00056;EC00057;EC000201;EC00032;EC00033;EC0001153;EC0001280;EC0001281;EC0001282;EC0001276;EC0001277;EC0001590;EC0001629;EC0001527;EC0001563;EC0001655;EC0001656;EC0001568
"Sphingolipid metabolism",3,3,0.7885,0.9975,0.8632,EC000217;EC000218;EC00028;EC000411;EC000412;EC000413;EC000250;EC000251;EC000252;EC000461;EC000462;EC000463;EC000464;EC000531;EC000532;EC000533
"Glycosphingolipid biosynthesis - globoseries",7,7,0.7931,0.9975,0.7791,EC000115;EC000116;EC00027;EC000133;EC000134;EC000135;EC000136;EC000137;EC000192;EC000128;EC000129;EC000222;EC0001014;EC000646
"Drug metabolism - cytochrome P450",47,47,0.8056,0.9975,0.8362,EC00040;EC00041;EC000451;EC000152;EC000231;EC000232;EC000587;EC000588
"Hyaluronan Metabolism",4,4,0.8261,0.9975,-0.6625,EC00032;EC00033;EC0001709;EC0001589;EC0001588;EC0001468;EC0001469;EC000574;EC0001503;EC0001504;EC0001502;EC0001530;EC0001531;EC0001527;EC0001626;EC0001625;EC0001705;EC0001704;EC000201;EC00035;EC00038;EC00039;EC0001604;EC000339;EC000340;EC000341;EC0001455;EC0001456;EC0001457;EC0001701;EC0001702;EC0001600;EC0001601;EC0001602;EC0001603;EC0001508;EC000549;EC000550;EC000749;EC0001627;EC0001151;EC0001629;EC0001715;EC0001716;EC0001714;EC00056;EC00057;EC00046;EC00047;EC0001719;EC0001713;EC0001718;EC0001590;EC0001591;EC0001711;EC0001712
"Fructose and mannose metabolism",23,23,0.8286,0.9975,0.7325,EC00034;EC00029;EC00030;EC00031;EC000193
"Vitamin B9 (folate) metabolism",25,25,0.831,0.9975,0.7492,EC0001577;EC000845;EC00032;EC00033;EC000707;EC00023;EC0001770;EC0001743;EC0001744;EC0001005;EC00024;EC0001762;EC000496;EC0001361;EC0001529;EC000169;EC0001360;EC0001781;EC0001443;EC0001764;EC0001454;EC00016;EC0001198;EC0001196;EC0001197;EC0001193;EC0001194;EC0001195;EC000215;EC000216;EC000700;EC000701;EC000692;EC000856;EC0001775
"Phytanic acid peroxisomal oxidation",14,14,0.8406,0.9975,0.7375,EC00045;EC00099;EC000100;EC000101;EC000102;EC000103;EC000122;EC000123;EC000234;EC000235;EC000236;EC000237;EC000128;EC000129;EC00055
"Arachidonic acid metabolism",37,37,0.8472,0.9975,0.7676,EC00099;EC000100;EC000101;EC000102;EC000103
"Selenoamino acid metabolism",21,21,0.8529,0.9975,0.7286,EC000321;EC000322;EC00034;EC00032;EC00033;EC000635;EC000636;EC000637;EC00029;EC00030;EC00031;EC000172;EC000173;EC0001011;EC000175;EC000176
"Sialic acid metabolism",32,32,0.8571,0.9975,-0.8101,EC0001309;EC0001310;EC000830
"Lysine metabolism",75,75,0.8767,0.9975,0.7651,EC000117;EC000729;EC000156;EC00069;EC00070;EC00071;EC00072;EC00073;EC000300;EC000301;EC00074;EC00075;EC00076;EC00077;EC00078;EC00079;EC00080;EC00081;EC000112;EC000113;EC000114;EC00032;EC00033;EC000321;EC000322;EC00035;EC00036;EC00037;EC00038;EC00039;EC00060;EC00061;EC000542;EC000543;EC000544;EC000545;EC000546;EC000547;EC000548;EC000328;EC000329;EC000352;EC000353;EC000354;EC000355;EC00059;EC000275;EC000276;EC000277;EC00048;EC000371;EC000372;EC000494;EC000495;EC000115;EC000116;EC000198;EC000199;EC000200;EC000538;EC000539;EC000540;EC000541;EC000243;EC000244;EC000245;EC00027;EC000124;EC000125;EC000131;EC000278;EC000279;EC000280;EC000281;EC000282;EC000283;EC000246;EC000378;EC000379;EC000380;EC000381;EC000128;EC000129;EC00093;EC00094;EC000342;EC000343;EC000408;EC000409;EC000410;EC000490;EC00099;EC000100;EC000101;EC000102;EC000103;EC00050;EC000166;EC00055;EC000373;EC000374
"1- and 2-Methylnaphthalene degradation",3,3,0.8846,0.9975,0.6842,EC00035;EC00036;EC00037;EC00038;EC00039;EC00032;EC00033;EC000160;EC000161;EC000162;EC000163;EC000347;EC000348;EC000349;EC000350;EC000351;EC000452;EC000453;EC000454;EC000455;EC0001478;EC0001479;EC0001480;EC0001481;EC000344;EC000345;EC000346;EC0001134;EC000166;EC000591;EC000592;EC000593;EC000594;EC000595;EC000596;EC000597;EC000654;EC000655;EC0001474;EC0001475;EC0001476;EC0001477;EC000859;EC000733;EC000734;EC000735;EC0001491;EC0001492;EC0001493;EC0001494;EC000901;EC000253;EC000426;EC00086;EC00087;EC00088;EC000787;EC000788;EC000275;EC000276;EC000277;EC00055;EC000386;EC0001145;EC0001146;EC000323;EC000324;EC000325;EC000326;EC00063;EC00064;EC00065;EC00066;EC00067;EC00068;EC00074;EC00075;EC00076;EC00077;EC00078;EC00079;EC00080;EC00081;EC000789;EC000790;EC000791;EC000792;EC000685;EC000846;EC000484;EC000485;EC000486;EC0001458;EC000582;EC000613;EC000614;EC000499;EC000500;EC000870;EC000871;EC000872;EC000260;EC000261;EC000262;EC000263;EC0001636;EC0001637;EC0001638;EC000832;EC000833;EC000834;EC000835;EC000836;EC000837;EC000608;EC000609;EC0001149;EC0001150;EC00056;EC00057;EC00062;EC000808;EC000809;EC000810;EC000811;EC00045;EC00046;EC00047;EC00043;EC00044;EC0001495;EC0001496;EC00051;EC00052;EC00053;EC00054
"Nucleotide Sugar Metabolism",5,5,0.9057,0.9975,0.5957,EC00035;EC00036;EC00037;EC00038;EC00039;EC000166;EC00074;EC00075;EC00076;EC00077;EC00078;EC00079;EC00080;EC00081;EC00055
"Glycosphingolipid biosynthesis - lactoseries",4,4,0.9107,0.9975,0.672,EC0001429;EC0001430;EC0001431;EC0001434;EC0001435;EC0001433;EC0001432;EC0001437;EC0001438;EC0001436;EC0001428;EC0001238;EC0001239;EC0001240;EC0001424;EC0001425;EC0001427;EC0001426;EC000725;EC000726;EC0001248;EC0001249;EC0001225;EC000936;EC0001286;EC000965;EC000966;EC0001216;EC0001217;EC0001218;EC0001219
"Blood Group Biosynthesis",4,4,0.9107,0.9975,0.672,EC00035;EC00036;EC00037;EC00038;EC00039;EC000112;EC000113;EC000114;EC000268;EC000269;EC000270;EC000271;EC000142;EC000152;EC00074;EC00075;EC00076;EC00077;EC00078;EC00079;EC00080;EC00081;EC0001741;EC0001742;EC00099;EC000100;EC000101;EC000102;EC000103;EC000294;EC000295;EC000296;EC000297;EC000298;EC00043;EC00044;EC0001118;EC000980;EC0001201;EC000231;EC000232;EC00060;EC00061;EC00069;EC00070;EC00071;EC00072;EC00073;EC00027;EC000287;EC000288;EC00093;EC00094;EC000869;EC000451
"Glycosphingolipid biosynthesis - neolactoseries",4,4,0.9107,0.9975,0.672,EC00034;EC00032;EC00033;EC0001639;EC0001485;EC0001486;EC000731;EC000732;EC000635;EC000636;EC000637;EC000515;EC000516;EC000517;EC00035;EC00036;EC00037;EC00038;EC00039;EC000520;EC000521;EC000522;EC0001789;EC00027;EC00029;EC00030;EC00031;EC000478;EC000479;EC000480;EC0001343;EC0001344;EC0001345;EC0001346;EC000331;EC000332;EC000903;EC000904;EC000905;EC000598;EC000599;EC000600;EC000589;EC000590;EC000775;EC000776;EC000777;EC000927;EC000250;EC000251;EC000252;EC000420;EC000421;EC000422;EC000423;EC0001258;EC0001259;EC0001260;EC0001261;EC0001723;EC0001724;EC0001725;EC0001726;EC000778;EC000779;EC0001634;EC0001063;EC0001064;EC000712;EC000713;EC000826;EC000827;EC000828;EC000829;EC0009;EC00010;EC00090;EC00091;EC00092;EC0001630;EC0001631;EC0001632;EC0001633;EC0001383;EC000906;EC000907;EC0001065;EC0001066;EC0001186;EC0001187;EC00095;EC00096;EC00097;EC00098;EC0001610;EC0001611;EC0001612;EC0001613;EC000766;EC000767;EC000382;EC000383;EC000175;EC000176;EC00074;EC00075;EC00076;EC00077;EC00078;EC00079;EC00080;EC00081;EC000610;EC000233;EC0001060;EC0001061;EC0001062;EC0001083;EC0001084;EC0001085;EC0001768;EC0001553;EC000289;EC000290;EC000291;EC000292;EC000230;EC0001262;EC0001263;EC0001264;EC0001265;EC0001302;EC0001303;EC0001304;EC000437;EC000438;EC000439;EC000440;EC000441;EC000442;EC0001089;EC000138;EC000696;EC000697;EC000698;EC000699;EC0001112;EC0001113;EC000751;EC0001074;EC0001075;EC0001076;EC0001067;EC0001068;EC0001069;EC0001070;EC0001071;EC0001072;EC0001073;EC0001077;EC0001078;EC0001079;EC0001080;EC0001081;EC0001082;EC00059;EC00056;EC00057;EC00058;EC000445;EC000446;EC000447;EC000448;EC0001550;EC0001551;EC0001552;EC00062;EC0001549;EC0001086;EC0001087;EC0001088;EC00048;EC0001517;EC0001518;EC0001519;EC0001520;EC0001410;EC0001411;EC0001412;EC0001413
"O-Glycan biosynthesis",4,4,0.9107,0.9975,0.672,EC00035;EC00036;EC00037;EC00038;EC00039;EC000499;EC000500;EC000312;EC000313;EC000314;EC000275;EC000276;EC000277;EC00048;EC000147;EC000148;EC000149;EC000150;EC000151;EC000253;EC000426;EC00055
"Purine metabolism",92,92,0.9167,0.9975,-0.7987,EC0001528;EC000477;EC0001588;EC0001589;EC0001532;EC0001533;EC0001455;EC0001456;EC0001457
"Electron transport chain",4,4,0.9286,1,0.6068,EC000883;EC00019;EC00020;EC0001739;EC0001740;EC0001034;EC0001035;EC000414;EC000415;EC000955;EC000956;EC000957;EC0001030;EC0001031;EC000745;EC0001027;EC00027;EC000562;EC000563;EC0001020;EC0003;EC0001036;EC000882;EC0001463;EC000498;EC000407;EC000998;EC0001466;EC000327;EC000504;EC000505;EC000375;EC0001029;EC0001032;EC000738;EC000739;EC000740;EC000783;EC000784;EC000384;EC000385;EC00011;EC00012;EC00013;EC0001019;EC0001021;EC0001038;EC0001039;EC0001040;EC0001041;EC0001022;EC000959;EC000187;EC0001037;EC00059;EC00058;EC00062;EC0001272;EC00043;EC00044;EC000996;EC000997
"Fatty acid oxidation, peroxisome",5,5,0.9623,1,0.4955,EC000115;EC000116;EC00099;EC000100;EC000101;EC000102;EC000103;EC000502;EC000503;EC00027;EC00040;EC00041
"Parathio degradation",9,9,0.9677,1,0.6004,EC0001605
"Chondroitin sulfate degradation",9,9,0.975,1,-0.5088,EC00032;EC00033;EC0001575;EC0001443;EC0001572;EC0001451;EC0001452;EC0001379;EC0001393;EC0001577;EC0001445;EC000201;EC0001526;EC0001449;EC000845;EC00024;EC0001578;EC0001394;EC0001395;EC0001361
"Heparan sulfate degradation",9,9,0.975,1,-0.5088,EC00032;EC00033;EC000169;EC0001450;EC00062;EC0001698;EC0001699;EC0001379;EC0001700;EC000707;EC00049;EC0001375;EC0001376;EC0001454
"Keratan sulfate biosynthesis",6,6,0.9792,1,-0.5191,EC000133;EC000134;EC000135;EC000136;EC000137;EC000238;EC000239;EC000240;EC000284;EC000285;EC000729;EC000128;EC000129;EC00032;EC00033;EC000743;EC000222;EC000195;EC00099;EC000100;EC000101;EC000102;EC000103;EC0001296;EC0001297;EC000287;EC000288;EC000122;EC000123;EC000131;EC000234;EC000235;EC000236;EC000237;EC000362;EC000652;EC000653;EC00040;EC00041;EC000646;EC000490
"Vitamin B1 (thiamin) metabolism",11,11,1,1,0.4362,EC00035;EC00036;EC00037;EC00038;EC00039;EC00034;EC00032;EC00033;EC0001043;EC0001044;EC0001256;EC0001257;EC000928;EC000929;EC000638;EC000639;EC00029;EC00030;EC00031;EC00058;EC000170;EC000171;EC0005;EC000573;EC000416;EC000417;EC000418;EC000389;EC000390;EC000391;EC000392;EC000393;EC000730;EC00084;EC00085;EC000209;EC000210;EC000751;EC00082;EC00083;EC000177;EC000400;EC000257;EC000741;EC0001599;EC000403;EC000404;EC00059;EC00056;EC00057;EC0001347;EC0001348;EC0001349;EC000804;EC000805;EC000806;EC000807;EC000197;EC000450;EC00046;EC00047;EC0001142;EC00043;EC00044;EC0001462;EC000360
"Saturated fatty acids beta-oxidation",14,14,1,1,-0.4171,EC00035;EC00036;EC00037;EC00038;EC00039;EC00034;EC00032;EC00033;EC0001059;EC000258;EC000259;EC000365;EC000366;EC000367;EC000368;EC000369;EC0001050;EC0001051;EC0001052;EC0001053;EC0001054;EC0001045;EC0001046;EC0001047;EC0001048;EC0001049;EC000832;EC000833;EC000834;EC000835;EC000836;EC000837;EC000627;EC000433;EC000434;EC000254;EC00029;EC00030;EC00031;EC00051;EC00052;EC00053;EC00054;EC00046;EC00047;EC000640;EC000641;EC000642;EC000568;EC000569;EC000570;EC000571;EC000572;EC000323;EC000324;EC000325;EC000326;EC0001180;EC0001181;EC000211;EC000212;EC000213;EC000214;EC000363;EC000364;EC00049;EC000386;EC000912;EC000913;EC000914;EC000915;EC000916;EC000917;EC000670;EC000671
"Drug metabolism - other enzymes",31,31,1,1,-0.5488,EC00032;EC00033;EC00082;EC00083;EC000461;EC000462;EC000463;EC000464;EC0001012;EC00028;EC000197;EC0001119;EC0001120;EC0001122;EC0001121;EC0001123;EC000360;EC000227;EC000228;EC000229;EC00048
