"","Pathway total","Hits.total","Hits.sig","Expected","FET","EASE","Gamma","Emp.Hits","Empirical","Pathway Number","EC.Hits"
"Sialic acid metabolism","23","23","3","3.5524","0.6566","0.85872","0.11788","772","0.0772","P49","EC00096;EC000227;EC00046"
"Hyaluronan Metabolism","7","7","1","1.0812","0.65913","1","0.11873","4119","0.4119","P50","EC00096"
"Leukotriene metabolism","24","24","3","3.7068","0.68588","0.8748","0.12829","970","0.097","P51","EC000429;EC000430;EC0001114"
"Hexose phosphorylation","16","16","2","2.4712","0.68783","0.9141","0.12902","9452","0.9452","P52","EC000125;EC000151"
"Glycosphingolipid biosynthesis - ganglioseries","8","8","1","1.2356","0.70786","1","0.13695","1783","0.1783","P53","EC000870"
"CoA Catabolism","8","8","1","1.2356","0.70786","1","0.13695","6537","0.6537","P54","EC000394"
"Vitamin B3 (nicotinate and nicotinamide) metabolism","34","34","4","5.2513","0.73555","0.88096","0.1491","8676","0.8676","P55","EC00018;EC00019;EC00035;EC000471"
"Vitamin D3 (cholecalciferol) metabolism","9","9","1","1.3901","0.74966","1","0.15589","1051","0.1051","P56","EC0001163"
"Saturated fatty acids beta-oxidation","9","9","1","1.3901","0.74966","1","0.15589","78","0.0078","P57","EC000579"
"Fructose and mannose metabolism","18","18","2","2.7801","0.75011","0.93695","0.15611","8212","0.8212","P58","EC00075;EC000613"
"Glycerophospholipid metabolism","60","60","7","9.267","0.77394","0.87475","0.16871","3738","0.3738","P59","EC000467;EC000892;EC000347;EC000348;EC00075;EC000141;EC000513"
"Androgen and estrogen biosynthesis and metabolism","28","28","3","4.3246","0.78443","0.92367","0.17474","7564","0.7564","P60","EC000303;EC000574;EC0001110"
"Fatty acid activation","37","37","4","5.7147","0.79535","0.91386","0.18138","1068","0.1068","P61","EC0001246;EC000579;EC000892;EC000513"
"Keratan sulfate degradation","11","11","1","1.699","0.81625","1","0.19527","9206","0.9206","P62","EC00096"
"Fatty acid oxidation","11","11","1","1.699","0.81625","1","0.19527","1706","0.1706","P63","EC000579"
"Heparan sulfate degradation","11","11","1","1.699","0.81625","1","0.19527","8793","0.8793","P64","EC00096"
"N-Glycan Degradation","11","11","1","1.699","0.81625","1","0.19527","9475","0.9475","P65","EC00096"
"Galactose metabolism","23","23","2","3.5524","0.86103","0.97097","0.2317","7287","0.7287","P66","EC00096;EC00075"
"Ubiquinone Biosynthesis","13","13","1","2.0079","0.8652","1","0.23569","9811","0.9811","P67","EC000125"
"Bile acid biosynthesis","24","24","2","3.7068","0.87696","0.97515","0.24765","1879","0.1879","P68","EC000743;EC000578"
"C21-steroid hormone biosynthesis and metabolism","52","52","5","8.0314","0.8844","0.95134","0.25581","7125","0.7125","P69","EC000303;EC0001067;EC000364;EC000574;EC000743"
"Vitamin B5 - CoA biosynthesis from pantothenate","15","15","1","2.3168","0.90117","1","0.27624","7120","0.712","P70","EC000394"
"Pentose phosphate pathway","27","27","2","4.1702","0.9152","0.98443","0.29606","7343","0.7343","P71","EC00075;EC000351"
"Histidine metabolism","38","38","3","5.8691","0.92475","0.97923","0.31135","9570","0.957","P72","EC00018;EC00019;EC000265"
"Glycosphingolipid metabolism","27","27","1","4.1702","0.98482","1","0.4954","7649","0.7649","P73","EC000870"
"Carnitine shuttle","32","32","1","4.9424","0.99309","1","0.56919","1106","0.1106","P74","EC000579"
