"","Pathway total","Hits.total","Hits.sig","Expected","FET","EASE","Gamma","Emp.Hits","Empirical","Pathway Number","EC.Hits"
"Arginine and Proline Metabolism","44","44","5","4.9219","0.48293","0.67663","0.028007","5578","0.5578","P30","EC00031;EC00038;EC000106;EC00034;EC000222"
"Prostaglandin formation from arachidonate","26","26","3","2.9084","0.5132","0.76399","0.031127","841","0.0841","P31","EC000231;EC000775;EC000849"
"N-Glycan biosynthesis","7","7","1","0.78303","0.5345","1","0.033562","2006","0.2006","P32","EC00020"
"Keratan sulfate degradation","7","7","1","0.78303","0.5345","1","0.033562","7362","0.7362","P33","EC00020"
"Heparan sulfate degradation","7","7","1","0.78303","0.5345","1","0.033562","5151","0.5151","P34","EC00020"
"Pentose phosphate pathway","17","17","2","1.9016","0.53756","0.84258","0.03393","3364","0.3364","P35","EC000188;EC00020"
"Lysine metabolism","47","47","5","5.2575","0.54435","0.72754","0.034764","7876","0.7876","P36","EC000696;EC00025;EC000430;EC000222;EC000444"
"Vitamin B5 - CoA biosynthesis from pantothenate","8","8","1","0.89489","0.58284","1","0.039969","6087","0.6087","P37","EC000624"
"Nitrogen metabolism","8","8","1","0.89489","0.58284","1","0.039969","7496","0.7496","P38","EC00034"
"Ascorbate (Vitamin C) and Aldarate Metabolism","19","19","2","2.1254","0.59987","0.8736","0.042564","4614","0.4614","P39","EC000299;EC000495"
"Aminosugars metabolism","19","19","2","2.1254","0.59987","0.8736","0.042564","4864","0.4864","P40","EC00034;EC000188"
"Omega-3 fatty acid metabolism","9","9","1","1.0068","0.6262","1","0.046984","3883","0.3883","P41","EC000905"
"Vitamin E metabolism","22","22","2","2.4609","0.68127","0.90913","0.058186","3726","0.3726","P42","EC0001092;EC000299"
"Pyrimidine metabolism","44","44","4","4.9219","0.68355","0.84688","0.058718","6464","0.6464","P43","EC00034;EC000376;EC000225;EC000274"
"Glycolysis and Gluconeogenesis","11","11","1","1.2305","0.69996","1","0.06273","4570","0.457","P44","EC00020"
"Ubiquinone Biosynthesis","11","11","1","1.2305","0.69996","1","0.06273","3865","0.3865","P45","EC000102"
"Vitamin D3 (cholecalciferol) metabolism","12","12","1","1.3423","0.73123","1","0.071391","4725","0.4725","P46","EC000950"
"Vitamin B9 (folate) metabolism","12","12","1","1.3423","0.73123","1","0.071391","6428","0.6428","P47","EC000225"
"Limonene and pinene degradation","12","12","1","1.3423","0.73123","1","0.071391","9725","0.9725","P48","EC000523"
"Glutamate metabolism","12","12","1","1.3423","0.73123","1","0.071391","7497","0.7497","P49","EC00034"
"Linoleate metabolism","47","47","4","5.2575","0.73409","0.87758","0.072257","9391","0.9391","P50","EC000993;EC000995;EC000983;EC000462"
"Fructose and mannose metabolism","13","13","1","1.4542","0.75927","1","0.080526","7654","0.7654","P51","EC00020"
"Sialic acid metabolism","14","14","1","1.5661","0.78441","1","0.09009","6120","0.612","P52","EC00020"
"Galactose metabolism","15","15","1","1.6779","0.80694","1","0.10004","8572","0.8572","P53","EC00020"
"Phosphatidylinositol phosphate metabolism","15","15","1","1.6779","0.80694","1","0.10004","8006","0.8006","P54","EC00020"
"TCA cycle","16","16","1","1.7898","0.82713","1","0.11033","5056","0.5056","P55","EC000677"
"Drug metabolism - other enzymes","16","16","1","1.7898","0.82713","1","0.11033","7957","0.7957","P56","EC000827"
"Carnitine shuttle","30","30","2","3.3558","0.8342","0.96248","0.1143","6894","0.6894","P57","EC0001127;EC0001122"
"Squalene and cholesterol biosynthesis","17","17","1","1.9016","0.84523","1","0.12093","4530","0.453","P58","EC000229"
"Porphyrin metabolism","18","18","1","2.0135","0.86145","1","0.13178","6626","0.6626","P59","EC000257"
"Beta-Alanine metabolism","18","18","1","2.0135","0.86145","1","0.13178","8459","0.8459","P60","EC00076"
"Xenobiotics metabolism","46","46","3","5.1456","0.87199","0.95936","0.13966","8994","0.8994","P61","EC000767;EC000882;EC000534"
"Purine metabolism","38","38","2","4.2507","0.91799","0.98462","0.18539","8157","0.8157","P62","EC000475;EC00034"
"Tryptophan metabolism","93","93","6","10.403","0.93544","0.97219","0.21042","9522","0.9522","P63","EC000405;EC000968;EC0001040;EC0001035;EC0001106;EC00020"
"Fatty Acid Metabolism","26","26","1","2.9084","0.94307","1","0.22359","7864","0.7864","P64","EC000534"
"Arachidonic acid metabolism","27","27","1","3.0203","0.94908","1","0.23526","8226","0.8226","P65","EC000231"
"C21-steroid hormone biosynthesis and metabolism","58","58","3","6.4879","0.95091","0.98714","0.23908","6297","0.6297","P66","EC000630;EC000959;EC000257"
"Butanoate metabolism","29","29","1","3.244","0.95929","1","0.25849","9594","0.9594","P67","EC000562"
"Androgen and estrogen biosynthesis and metabolism","30","30","1","3.3558","0.9636","1","0.27001","9253","0.9253","P68","EC000630"
"De novo fatty acid biosynthesis","30","30","1","3.3558","0.9636","1","0.27001","8678","0.8678","P69","EC000534"
