"","Pathway total","Hits.total","Hits.sig","Expected","FET","EASE","Gamma","Emp.Hits","Empirical","Pathway Number","EC.Hits"
"Linoleate metabolism","47","47","3","2.5834","0.43046","0.69267","0.014545","7399","0.7399","P25","EC000981;EC0001016;EC0001019"
"Glycolysis and Gluconeogenesis","11","11","1","0.60463","0.43735","1","0.014931","2941","0.2941","P26","EC00020"
"Carnitine shuttle","30","30","2","1.649","0.45597","0.78857","0.016032","2746","0.2746","P27","EC0001008;EC0001146"
"Fatty acid oxidation","12","12","1","0.65959","0.46617","1","0.016672","552","0.0552","P28","EC0001008"
"Limonene and pinene degradation","12","12","1","0.65959","0.46617","1","0.016672","8558","0.8558","P29","EC0001140"
"Hexose phosphorylation","13","13","1","0.71456","0.49353","1","0.01854","7166","0.7166","P30","EC00020"
"Fructose and mannose metabolism","13","13","1","0.71456","0.49353","1","0.01854","5538","0.5538","P31","EC00020"
"Sialic acid metabolism","14","14","1","0.76953","0.51952","1","0.020534","3533","0.3533","P32","EC00020"
"Galactose metabolism","15","15","1","0.82449","0.54419","1","0.022655","5923","0.5923","P33","EC00020"
"Phosphatidylinositol phosphate metabolism","15","15","1","0.82449","0.54419","1","0.022655","5251","0.5251","P34","EC00020"
"Vitamin B6 (pyridoxine) metabolism","15","15","1","0.82449","0.54419","1","0.022655","7678","0.7678","P35","EC000142"
"Drug metabolism - other enzymes","16","16","1","0.87946","0.56762","1","0.024905","4437","0.4437","P36","EC000942"
"C21-steroid hormone biosynthesis and metabolism","58","58","3","3.188","0.57467","0.79931","0.025632","1839","0.1839","P37","EC0009;EC000391;EC000669"
"Vitamin E metabolism","22","22","1","1.2093","0.68528","1","0.041061","3647","0.3647","P38","EC0001113"
"Xenobiotics metabolism","46","46","2","2.5284","0.69064","0.90933","0.042058","6812","0.6812","P39","EC000887;EC000441"
"Lysine metabolism","47","47","2","2.5834","0.7022","0.91404","0.044312","8550","0.855","P40","EC000697;EC000430"
"Vitamin B3 (nicotinate and nicotinamide) metabolism","25","25","1","1.3742","0.73167","1","0.050773","9098","0.9098","P41","EC000146"
"Bile acid biosynthesis","28","28","1","1.5391","0.77133","1","0.061476","4300","0.43","P42","EC000663"
"De novo fatty acid biosynthesis","30","30","1","1.649","0.79451","1","0.069116","5265","0.5265","P43","EC0001010"
"Fatty acid activation","36","36","1","1.9788","0.85105","1","0.094121","4597","0.4597","P44","EC0001008"
"Pyrimidine metabolism","44","44","1","2.4185","0.90329","1","0.13114","9180","0.918","P45","EC000479"
"Urea cycle/amino group metabolism","76","76","2","4.1774","0.91081","0.98211","0.13838","9891","0.9891","P46","EC000457;EC000237"
"Glycine, serine, alanine and threonine metabolism","49","49","1","2.6933","0.9263","1","0.15566","9107","0.9107","P47","EC0001045"
"Aspartate and asparagine metabolism","83","83","1","4.5622","0.98878","1","0.32546","9979","0.9979","P48","EC000237"
