"","Pathway total","Hits.total","Hits.sig","Expected","FET","EASE","Gamma","Emp.Hits","Empirical","Pathway Number","EC.Hits"
"Tyrosine metabolism","151","151","21","14.23","0.01476","0.026142","0.0071522","8931","0.8931","P11","EC00020;EC00015;EC0001078;EC000374;EC000375;EC00018;EC00019;EC000339;EC000308;EC000926;EC000607;EC0001195;EC00055;EC000569;EC00035;EC000772;EC000792;EC000793;EC000555;EC00073;EC0001105"
"Glutamate metabolism","19","19","5","1.7906","0.019411","0.07301","0.0072466","3","3e-04","P12","EC00018;EC00019;EC00020;EC00035;EC00073"
"Mono-unsaturated fatty acid beta-oxidation","3","3","2","0.28272","0.021111","0.23648","0.0072815","4","4e-04","P13","EC0001060;EC00015"
"Urea cycle/amino group metabolism","92","92","14","8.6702","0.02245","0.044484","0.0073091","4968","0.4968","P14","EC00018;EC00019;EC000608;EC000609;EC000569;EC00020;EC000631;EC000483;EC000484;EC000374;EC000375;EC00030;EC000243;EC000246"
"Butanoate metabolism","42","42","8","3.9581","0.023959","0.061831","0.0073403","71","0.0071","P15","EC00018;EC00019;EC00020;EC00015;EC00073;EC000872;EC000139;EC000621"
"Glycine, serine, alanine and threonine metabolism","69","69","11","6.5026","0.030648","0.064453","0.0074804","41","0.0041","P16","EC00018;EC00019;EC00020;EC00015;EC0001073;EC000139;EC00073;EC000143;EC000144;EC000555;EC000147"
"Vitamin B5 - CoA biosynthesis from pantothenate","15","15","4","1.4136","0.034564","0.1316","0.0075638","31","0.0031","P17","EC00015;EC000395;EC000396;EC000397"
"Purine metabolism","45","45","8","4.2408","0.035141","0.084098","0.0075762","39","0.0039","P18","EC00018;EC00019;EC00015;EC000318;EC000693;EC000351;EC00035;EC00030"
"R Group Synthesis","4","4","2","0.37696","0.039839","0.30226","0.0076777","0","0","P19","EC000617;EC000579"
"Carnitine shuttle","32","32","6","3.0157","0.052041","0.13318","0.0079482","0","0","P20","EC000617;EC00010;EC0001060;EC000579;EC0001266;EC000194"
"Vitamin H (biotin) metabolism","5","5","2","0.4712","0.062677","0.36242","0.0081923","16","0.0016","P21","EC00029;EC00015"
"Glutathione Metabolism","19","19","4","1.7906","0.075071","0.21963","0.0084871","11","0.0011","P22","EC000540;EC000541;EC00018;EC00019"
"Propanoate metabolism","12","12","3","1.1309","0.078405","0.27595","0.0085683","12","0.0012","P23","EC00015;EC00073;EC000152"
