"","Pathway_Total","Hits","P_val","P_adj","NES","EC.Hits"
"Glycerophospholipid metabolism",53,53,0.005587,0.1184,1.643,EC000488;EC000489;EC000149;EC000150;EC000127;EC000128;EC000129
"Prostaglandin formation from arachidonate",38,38,0.01047,0.1567,1.581,EC00014;EC000304;EC000351
"Prostaglandin formation from arachidonate",38,38,0.01047,0.1567,1.581,EC00014;EC000780;EC000781;EC000782;EC000553;EC000681;EC000682;EC000683;EC000895
"Prostaglandin formation from arachidonate",38,38,0.01047,0.1567,1.581,EC00018;EC00019;EC00014;EC00015;EC00016;EC00017;EC00059;EC00060;EC00061;EC000666;EC000667;EC000668;EC000105;EC000106;EC000107;EC000334;EC000335;EC000655;EC000656;EC000657;EC000658;EC000158;EC000126;EC00023;EC00024;EC000308;EC000309;EC000310
"Prostaglandin formation from arachidonate",38,38,0.01047,0.1567,1.581,EC00014
"Prostaglandin formation from arachidonate",38,38,0.01047,0.1567,1.581,EC00029
"Prostaglandin formation from arachidonate",38,38,0.01047,0.1567,1.581,EC00018;EC00014;EC00031;EC00032;EC0006;EC000132;EC000133;EC000633;EC000634;EC000635;EC00028
"Prostaglandin formation from arachidonate",38,38,0.01047,0.1567,1.581,EC00072;EC000134;EC000135;EC000136;EC000137;EC000138;EC000116;EC000451;EC000278;EC000279;EC000247;EC000248;EC000249;EC000250;EC000114;EC000439;EC000430;EC000564;EC000565;EC000566;EC000567;EC00034;EC00035;EC000981;EC00089;EC00090;EC00091;EC000295;EC000296;EC000297;EC000189;EC000118;EC000394;EC000395;EC000396;EC000429;EC000431
"Prostaglandin formation from arachidonate",38,38,0.01047,0.1567,1.581,EC000972;EC000973;EC000822;EC00034;EC00035;EC000189
"Prostaglandin formation from arachidonate",38,38,0.01047,0.1567,1.581,EC000878;EC000880;EC000892;EC000893;EC000894
"Prostaglandin formation from arachidonate",38,38,0.01047,0.1567,1.581,EC00078;EC00079;EC00020;EC000114;EC00030;EC00065;EC00066;EC00067
"C21-steroid hormone biosynthesis and metabolism",65,65,0.01096,0.1567,1.576,EC00019;EC00023;EC00024
