"","Pathway total","Hits.total","Hits.sig","Expected","FET","EASE","Gamma","Emp.Hits","Empirical","Pathway Number","EC.Hits"
"Prostaglandin formation from arachidonate","26","26","3","3.4851","0.64278","0.84927","0.098184","1045","0.1045","P58","EC0001047;EC000126;EC00037"
"Pyrimidine metabolism","44","44","5","5.8978","0.65283","0.81084","0.10125","3668","0.3668","P59","EC000479;EC00034;EC000182;EC000123;EC00026"
"Vitamin B5 - CoA biosynthesis from pantothenate","8","8","1","1.0723","0.6534","1","0.10143","8485","0.8485","P60","EC000360"
"Saturated fatty acids beta-oxidation","8","8","1","1.0723","0.6534","1","0.10143","5237","0.5237","P61","EC000557"
"Arachidonic acid metabolism","27","27","3","3.6191","0.66892","0.8641","0.10643","3293","0.3293","P62","EC000806;EC0001130;EC000126"
"Porphyrin metabolism","18","18","2","2.4127","0.67335","0.90718","0.10792","4261","0.4261","P63","EC000236;EC00037"
"Xenobiotics metabolism","46","46","5","6.1659","0.69272","0.83812","0.11475","8719","0.8719","P64","EC0005;EC000314;EC000890;EC000888;EC000891"
"Biopterin metabolism","9","9","1","1.2064","0.69657","1","0.11618","7554","0.7554","P65","EC0001025"
"Omega-3 fatty acid metabolism","9","9","1","1.2064","0.69657","1","0.11618","5730","0.573","P66","EC000806"
"Omega-6 fatty acid metabolism","9","9","1","1.2064","0.69657","1","0.11618","1307","0.1307","P67","EC000126"
"Glycine, serine, alanine and threonine metabolism","49","49","5","6.568","0.74655","0.87287","0.13715","4736","0.4736","P68","EC000182;EC000243;EC00038;EC000236;EC000288"
"Ubiquinone Biosynthesis","11","11","1","1.4744","0.76754","1","0.14757","6024","0.6024","P69","EC00098"
"Vitamin E metabolism","22","22","2","2.9489","0.77801","0.94558","0.1532","5409","0.5409","P70","EC000972;EC0001113"
"Leukotriene metabolism","24","24","2","3.217","0.81849","0.95836","0.17829","6522","0.6522","P71","EC0001047;EC000126"
"Vitamin B3 (nicotinate and nicotinamide) metabolism","25","25","2","3.351","0.83617","0.96358","0.1913","9491","0.9491","P72","EC00034;EC00026"
"Sialic acid metabolism","14","14","1","1.8766","0.84427","1","0.19778","5945","0.5945","P73","EC00020"
"Fatty Acid Metabolism","26","26","2","3.4851","0.85228","0.96816","0.20456","6534","0.6534","P74","EC000450;EC000115"
"Vitamin B6 (pyridoxine) metabolism","15","15","1","2.0106","0.86377","1","0.21498","9950","0.995","P75","EC000276"
"TCA cycle","16","16","1","2.1446","0.88085","1","0.23228","6045","0.6045","P76","EC000288"
"Drug metabolism - cytochrome P450","32","32","2","4.2893","0.92222","0.9858","0.28719","9469","0.9469","P77","EC000929;EC000673"
"Linoleate metabolism","47","47","3","6.2999","0.94475","0.98543","0.33019","9986","0.9986","P78","EC0001019;EC00037;EC000806"
"Fatty acid activation","36","36","2","4.8255","0.95011","0.99174","0.34274","6431","0.6431","P79","EC000806;EC000450"
"Valine, leucine and isoleucine degradation","25","25","1","3.351","0.96451","1","0.38357","8373","0.8373","P80","EC000182"
"Histidine metabolism","32","32","1","4.2893","0.98626","1","0.48707","9997","0.9997","P81","EC000212"
"Tyrosine metabolism","125","125","8","16.755","0.993","0.9973","0.55099","9999","0.9999","P82","EC0001078;EC000970;EC000512;EC0001075;EC00037;EC00034;EC000724;EC000929"
